EXPEDIENT;DISTRICTE;BARRI;TIPUS_CARRER;CARRER;TIPUS_NUM;NUM1;LLETRA1;NUM2;LLETRA2;BLOC;PORTAL;ESCALA;PIS;PORTA
05-2014-0020;Sarrià-Sant Gervasi;Sarrià;C;ABAT SAMSO;2;4;;;;;;;BJ;
06-2014-0312;Gràcia;la Vila de Gràcia;C;ABDO TERRADAS;1;15;;17;;;;;BJ;A
06-2014-0314;Gràcia;la Vila de Gràcia;C;ABDO TERRADAS;1;15;;17;;;;;BJ;B
06-2014-0313;Gràcia;la Vila de Gràcia;C;ABDO TERRADAS;1;15;;17;;;;;BJ;C
09-2014-0226;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;01;2
09-2012-0225;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;02;1
09-2012-0294;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;BJ;1
09-2013-0041;Sant Andreu;el Congrés i els Indians;C;ACACIES;2;52;;;;;;;PR;2
05-2014-0170;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;PL;ADRIA;1;5;;;;;;;01;1
07-2014-0258;Horta-Guinardó;la Font d'en Fargues;C;AGUDELLS;1;27;;;;;;;;
01-2011-0123;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;01;
01-2011-0152;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;02;
01-2011-0153;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;03;
01-2011-0154;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;C;AGULLERS;2;22;;;;;;;04;
10-2013-0068;Sant Martí;el Parc i la Llacuna del Poblenou;C;ALABA;2;156;;;;;;;SA;1
05-2013-0115;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;C;ALBERES;2;18;;;;;;;BJ;2
10-2012-0695;Sant Martí;Sant Martí de Provençals;C;ALCALA DE GUADAIRA;2;10;;;;;;;01;2
10-2014-0421;Sant Martí;Sant Martí de Provençals;C;ALCALA DE GUADAIRA;1;23;;;;;;;06;1
01-2013-0693;Ciutat Vella;la Barceloneta;C;ALCANAR;2;22;;;;;;;BJ;2
03-2014-0045;Sants-Montjuïc;Sants;C;ALCOLEA;1;19;;;;;;;01;2
03-2014-0044;Sants-Montjuïc;Sants;C;ALCOLEA;1;19;;;;;;;02;2
